product_name,description1,description2,description3
Hamburgerost Cheddarsmak 200g ICA,,"0.2kg(114,75 kr/kg)","22,95 kr"
Präst mellan 31% ca 720g Arla Ko,,"Ca0.72kg(118,00 kr/kg), Sverige","Ca84,96 kr"
Finkrossade Tomater Polpa 400g Mutti,,"0.4kg(39,88 kr/kg)","15,95 kr"
Blodpudding 500g Gea s,,"0.5kg(19,90 kr/kg)","9,95 kr"
Smör Normalsaltat 81% 500g ICA,,"0.5kg(89,00 kr/kg)","44,50 kr"
Hamburgerbröd Frisco 4-p 324g Korvbrödsbagarn,,"0.324kg(77,01 kr/kg), Sverige","24,95 kr"
Mild Yoghurt Vanilj 2% 1000g Arla Ko®,,"1kg(19,95 kr/kg), Sverige","19,95 kr"
Gul lök 1kg Klass 1 ICA,,"1kg(23,95 kr/kg), Sverige","23,95 kr"
Tortilla Original Medium 12-p 480g Santa Maria,,"0.48kg(47,81 kr/kg)","22,95 kr"
Mjölk 3% 1l ICA,,"1L(10,50 kr/l), Sverige","10,50 kr"
Cheezdoodles 225g OLW,,"0.225kg(128,67 kr/kg)","28,95 kr"
Öl Alkoholfri Ekologisk 33cl Carlsberg,,"0.33L(31,82 kr/l)","10,50 kr"
Hallon Fryst 250g ICA,,"0.25kg(83,80 kr/kg)","20,95 kr"
Halloumi orginal 200g Fontana,,"0.2kg(174,75 kr/kg)","34,95 kr"
Jordgubb 165g Mannafrutti,,"0.165kg(69,70 kr/kg)","11,50 kr"
"Mild kvarg Vanilj 0,2% 1000g Arla®",,"1kg(35,95 kr/kg)","35,95 kr"
Tvättlappar 250-p ICA Basic,,"250 per frp(0,13 kr/st)","33,50 kr"
"Lättyoghurt Naturell Mild 0,5% 1000g Arla Ko®",,"1kg(16,95 kr/kg), Sverige","16,95 kr"
Digestive 400g ICA,,"0.4kg(32,38 kr/kg)","12,95 kr"
Gräddalternativ Mat 4% Laktosfri 250ml Flora,,"0.25L(46,00 kr/l)","11,50 kr"
Finbladig rucola Sköljd 65g ICA,,"0.065kg(245,38 kr/kg), Frankrike","15,95 kr"
Minutfilé ca 600g Kronfågel,,"Ca0.6kg(149,00 kr/kg), Sverige","Ca89,40 kr"
"Färsk lättmjölk 0,5% 1l Arla Ko®",,"1L(11,95 kr/l), Sverige","11,95 kr"
Rödlök 2 pack Klass 1 ICA,,"Ca0.38kg(23,95 kr/kg), Nederländerna","Ca9,10 kr"
Grillost Norrländsk 24% 200g ICA,,"0.2kg(142,50 kr/kg), Sverige","28,50 kr"
Ketchup 1kg Heinz,,"1kg(31,50 kr/kg)","31,50 kr"
Vetekaka 24-p 900g Polarbröd,,"0.9kg(36,61 kr/kg), Sverige","32,95 kr"
Äpple Merpack 1kg Jonagold Klass 2 ICA,,"1kg(16,95 kr/kg), Polen","16,95 kr"
Färgmixade småtomater 350g Klass 1 ICA,,"0.35kg(105,57 kr/kg), Marocko","36,95 kr"
"JätteFranska Rostbröd 1,1kg Pågen",,"1.1kg(27,23 kr/kg), Sverige","29,95 kr"
Bad & Toalettpapper 16-p Miljömärkt ICA,,"1.788kg(52,57 kr/kg)","94,00 kr"
Crème fraiche Lätt 13% 5dl ICA,,"0.5L(55,00 kr/l)","27,50 kr"
Fish & crisp gourmetfil 480 g Findus,,"0.48kg(122,81 kr/kg)","58,95 kr"
Lantskinka Rökt 120g ICA,,"0.12kg(166,25 kr/kg), Sverige","19,95 kr"
Köttbullar Delikatess 450g Scan,,"0.45kg(96,67 kr/kg), Sverige","43,50 kr"
"Lättmjölkdryck 0,5% Laktosfri 1,5l Arla Ko®",,"1.5L(15,00 kr/l), Sverige","22,50 kr"
Avokado i nät 700g Klass 1 ICA,,"0.7kg(57,07 kr/kg), Chile","39,95 kr"
Knäckebröd Falu Råg-Rut 470g Wasa,,"0.47kg(45,74 kr/kg)","21,50 kr"
Levainbröd Surdeg Vete 650g Pågen,,"0.65kg(59,23 kr/kg), Sverige","38,50 kr"
Juice Äpple 1l God Morgon®,,"1L(20,95 kr/l)","20,95 kr"
Strösocker 2kg ICA,,"2kg(13,75 kr/kg)","27,50 kr"
"Läsk 1,5l Coca-Cola",,"1.5L(12,33 kr/l exkl pant), Pant 2,00 kr","18,50 kr"
Isbergssallat 1 pack Klass 1 ICA,,"Ca0.44kg(34,95 kr/kg), Sverige","Ca15,38 kr"
Bryggkaffe Skånerost 450g Zoegas,,"0.45kg(126,56 kr/kg)","56,95 kr"
Smör & rapsolja Extrasaltat 600g Bregott®,,"0.6kg(94,92 kr/kg), Sverige","56,95 kr"
Chips Sourcream & onion 275g Estrella,,"0.275kg(101,64 kr/kg)","27,95 kr"
Gammaldags Idealmakaroner 750g Kungsörnen,,"0.75kg(23,33 kr/kg)","17,50 kr"
Emilskinka Rökt 120g Pärsons,,"0.12kg(237,50 kr/kg), Sverige","28,50 kr"
Hushållspapper 3-p Miljömärkt Serla,,"0.57kg(50,79 kr/kg)","28,95 kr"
Hamburgerbröd 8-p 448g Korvbrödsbagarn,,"0.448kg(70,31 kr/kg)","31,50 kr"
Taco Spice Mix Orginal Mild 28g 3-p Santa Maria,,"0.084kg(356,55 kr/kg)","29,95 kr"
Vita bönor i tomatsås 415g Heinz,,"0.415kg(27,71 kr/kg)","11,50 kr"
Kassler ca 600g ICA,,"Ca0.6kg(93,00 kr/kg), Sverige","Ca55,80 kr"
Sprödpanerad torskfilé 4-p Fryst 360g ICA,,"0.36kg(133,19 kr/kg)","47,95 kr"
Vitost hel bit 20% 150g Apetina,,"0.15kg(130,00 kr/kg)","19,50 kr"
Filmjölk 3% 1000g Arla Ko®,,"1kg(13,50 kr/kg), Sverige","13,50 kr"
Köttbullar Mamma Scans 1kg Scan,,"1kg(66,95 kr/kg), Sverige","66,95 kr"
Bryggkaffe Mellanrost 450g Gevalia,,"0.45kg(115,44 kr/kg)","51,95 kr"
Hallon 125g Klass 1 ICA,,"0.125kg(287,60 kr/kg), Spanien","35,95 kr"
Nudlar Oriental 85g Samyang,,"0.085kg(58,24 kr/kg)","4,95 kr"
Vardagsägg Frigående inne M 15-p Kronägg,,"15 per frp(2,97 kr/st), Sverige","44,50 kr"
Färsk vispgrädde 40% 5dl Arla Ko®,,"0.5L(59,90 kr/l), Sverige","29,95 kr"
Jubileumskaka 400g Polarbröd,,"0.4kg(62,38 kr/kg)","24,95 kr"
Ägg M/L KRAV 12-p ICA I love eco,,"12 per frp(4,16 kr/st), Sverige","49,95 kr"
"Lättmjölk 0,5% 1l ICA",,"1L(10,30 kr/l), Sverige","10,30 kr"
